PubChem_CID,Compound Name,Severity Class,DILIConcern,vDILIConcern,Greene_Annotation,Sakatis_Annotation,Xu_Annotation,Zhu_Annotation,SMILES,NCTR,vNCTR,Greene,Sakatis,Xu,Zhu,cluster
213039,darunavir,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,Postive,CC(C)CN(C[C@H]([C@H](CC1=CC=CC=C1)NC(=O)O[C@H]2CO[C@@H]3[C@H]2CCO3)O)S(=O)(=O)C4=CC=C(C=C4)N,2,2,-1,-1,-1,1,90
3033,diclofenac,8,Most-DILI-Concern,vMost-DILI-Concern,HH,Hepatotoxic,Positive,Postive,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl,2,2,2,1,1,1,23
50599,didanosine,8,Most-DILI-Concern,vMost-DILI-Concern,HH,Hepatotoxic,Positive,Postive,C1C[C@@H](O[C@@H]1CO)N2C=NC3=C2NC=NC3=O,2,2,2,1,1,1,91
3059,diflunisal,8,Most-DILI-Concern,vMost-DILI-Concern,HH,.,Positive,.,C1=CC(=C(C=C1C2=C(C=C(C=C2)F)F)C(=O)O)O,2,2,2,-1,1,-1,19
39186,diltiazem,4,Most-DILI-Concern,vMost-DILI-Concern,.,non-hepatotixic,Negative,Postive,CC(=O)O[C@@H]1[C@@H](SC2=CC=CC=C2N(C1=O)CCN(C)C)C3=CC=C(C=C3)OC,2,2,-1,0,0,1,92
3117,disulfiram,8,Most-DILI-Concern,vMost-DILI-Concern,.,Hepatotoxic,.,Postive,CCN(CC)C(=S)SSC(=S)N(CC)CC,2,2,-1,1,-1,1,19
208898,dronedarone,7,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,.,CCCCC1=C(C2=C(O1)C=CC(=C2)NS(=O)(=O)C)C(=O)C3=CC=C(C=C3)OCCCN(CCCC)CCCC,2,2,-1,-1,-1,-1,93
60835,duloxetine,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,Postive,CNCC[C@@H](C1=CC=CS1)OC2=CC=CC3=CC=CC=C32,2,2,-1,-1,-1,1,94
64139,efavirenz,7,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,Postive,C1CC1C#C[C@]2(C3=C(C=CC(=C3)Cl)NC(=O)O2)C(F)(F)F,2,2,-1,-1,-1,1,95
176870,erlotinib,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,.,COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC,2,2,-1,-1,-1,-1,96
12560,erythromycin,5,Most-DILI-Concern,vMost-DILI-Concern,HH,Hepatotoxic,Positive,Postive,CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)O)(C)O,2,2,2,1,1,1,86
18140,estramustine,4,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,.,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)OC(=O)N(CCCl)CCCl,2,2,-1,-1,-1,-1,97
3279,ethambutol,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,Postive,CCC(CO)NCCNC(CC)CO,2,2,-1,-1,-1,1,19
3308,etodolac,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,Postive,CCC1=CC=CC2=C1NC3=C2CCOC3(CC)CC(=O)O,2,2,-1,-1,-1,1,98
193962,etravirine,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,.,CC1=CC(=CC(=C1OC2=NC(=NC(=C2Br)N)NC3=CC=C(C=C3)C#N)C)C#N,2,2,-1,-1,-1,-1,99
60198,exemestane,4,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,.,C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CC(=C)C4=CC(=O)C=C[C@]34C,2,2,-1,-1,-1,-1,100
134018,febuxostat,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,.,CC1=C(SC(=N1)C2=CC(=C(C=C2)OCC(C)C)C#N)C(=O)O,2,2,-1,-1,-1,-1,101
3342,fenoprofen,8,Most-DILI-Concern,vMost-DILI-Concern,HH,.,Positive,.,CC(C1=CC(=CC=C1)OC2=CC=CC=C2)C(=O)O,2,2,2,-1,1,-1,19
3365,fluconazole,8,Most-DILI-Concern,vMost-DILI-Concern,HH,Hepatotoxic,Positive,Postive,C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O,2,2,2,1,1,1,102
56339,fosphenytoin,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,Negative,C1=CC=C(C=C1)C2(C(=O)N(C(=O)N2)COP(=O)(O)O)C3=CC=CC=C3,2,2,-1,-1,-1,0,103
123631,gefitinib,4,Most-DILI-Concern,vMost-DILI-Concern,.,.,Positive,.,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4,2,2,-1,-1,1,-1,104
60750,gemcitabine,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,.,C1=CN(C(=O)N=C1N)[C@H]2C([C@@H]([C@H](O2)CO)O)(F)F,2,2,-1,-1,-1,-1,53
3463,gemfibrozil,4,Most-DILI-Concern,vMost-DILI-Concern,HH,.,Positive,.,CC1=CC(=C(C=C1)C)OCCCC(C)(C)C(=O)O,2,2,2,-1,1,-1,105
441140,griseofulvin,8,Most-DILI-Concern,vMost-DILI-Concern,HH,.,Positive,.,C[C@@H]1CC(=O)C=C([C@]12C(=O)C3=C(O2)C(=C(C=C3OC)OC)Cl)OC,2,2,2,-1,1,-1,106
3657,hydroxyurea,8,Most-DILI-Concern,vMost-DILI-Concern,HH,.,Positive,.,C(=O)(N)NO,2,2,2,-1,1,-1,19
5291,imatinib,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,Postive,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,2,2,-1,-1,-1,1,107
3715,indomethacin,8,Most-DILI-Concern,vMost-DILI-Concern,HH,Hepatotoxic,Positive,Postive,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,2,2,2,1,1,1,108
5282379,isotretinoin,5,Most-DILI-Concern,vMost-DILI-Concern,HH,.,Positive,.,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C\C(=O)O)/C)/C,2,2,2,-1,1,-1,109
55283,itraconazole,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,Postive,CCC(C)N1C(=O)N(C=N1)C2=CC=C(C=C2)N3CCN(CC3)C4=CC=C(C=C4)OC[C@H]5CO[C@](O5)(CN6C=NC=N6)C7=C(C=C(C=C7)Cl)Cl,2,2,-1,-1,-1,1,110
3869,labetalol,8,Most-DILI-Concern,vMost-DILI-Concern,HH,Hepatotoxic,Positive,Postive,CC(CCC1=CC=CC=C1)NCC(C2=CC(=C(C=C2)O)C(=O)N)O,2,2,2,1,1,1,111
3878,lamotrigine,7,Most-DILI-Concern,vMost-DILI-Concern,.,Hepatotoxic,.,Postive,C1=CC(=C(C(=C1)Cl)Cl)C2=C(N=C(N=N2)N)N,2,2,-1,1,-1,1,112
149096,levofloxacin,8,Most-DILI-Concern,vMost-DILI-Concern,.,non-hepatotixic,.,Postive,C[C@H]1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O,2,2,-1,0,-1,1,113
4044,mefenamic acid,8,Most-DILI-Concern,vMost-DILI-Concern,HH,Hepatotoxic,Positive,.,CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)O)C,2,2,2,1,1,-1,19
667490,mercaptopurine,8,Most-DILI-Concern,vMost-DILI-Concern,HH,Hepatotoxic,Positive,Postive,C1=NC2=C(N1)C(=S)N=CN2,2,2,2,1,1,1,19
1349907,methimazole,8,Most-DILI-Concern,vMost-DILI-Concern,HH,.,Positive,.,CN1C=CNC1=S,2,2,2,-1,1,-1,19
38853,methyldopa,8,Most-DILI-Concern,vMost-DILI-Concern,HH,Hepatotoxic,Positive,Postive,C[C@](CC1=CC(=C(C=C1)O)O)(C(=O)O)N,2,2,2,1,1,1,19
3081921,micafungin,7,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,.,CCCCCOC1=CC=C(C=C1)C2=CC(=NO2)C3=CC=C(C=C3)C(=O)NC4CC(C(NC(=O)C5C(C(CN5C(=O)C(NC(=O)C(NC(=O)C6CC(CN6C(=O)C(NC4=O)C(C)O)O)C(C(C7=CC(=C(C=C7)O)OS(=O)(=O)O)O)O)C(CC(=O)N)O)C)O)O)O,2,2,-1,-1,-1,-1,114
65833,milnacipran,7,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,.,CCN(CC)C(=O)[C@@]1(C[C@@H]1CN)C2=CC=CC=C2,2,2,-1,-1,-1,-1,115
5281021,minocycline,8,Most-DILI-Concern,vMost-DILI-Concern,HH,Hepatotoxic,Positive,Postive,CN(C)[C@H]1[C@@H]2C[C@@H]3CC4=C(C=CC(=C4C(=C3C(=O)[C@@]2(C(=O)/C(=C(/N)\O)/C1=O)O)O)O)N(C)C,2,2,2,1,1,1,116
9904,nandrolone decanoate,7,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,.,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=O)CC[C@H]34,2,2,-1,-1,-1,-1,117
938,niacin,7,Most-DILI-Concern,vMost-DILI-Concern,HH,Hepatotoxic,Positive,Postive,C1=CC(=CN=C1)C(=O)O,2,2,2,1,1,1,19
4493,nilutamide,8,Most-DILI-Concern,vMost-DILI-Concern,.,Hepatotoxic,.,.,CC1(C(=O)N(C(=O)N1)C2=CC(=C(C=C2)[N+](=O)[O-])C(F)(F)F)C,2,2,-1,1,-1,-1,118
5353830,nitrofurantoin,8,Most-DILI-Concern,vMost-DILI-Concern,HH,Hepatotoxic,Positive,Postive,C1C(=O)NC(=O)N1/N=C\C2=CC=C(O2)[N+](=O)[O-],2,2,2,1,1,1,56
4543,nortriptyline,8,Most-DILI-Concern,vMost-DILI-Concern,HH,.,Positive,.,CNCCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,2,2,2,-1,1,-1,32
3034010,orlistat,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,Postive,CCCCCCCCCCC[C@@H](C[C@H]1[C@@H](C(=O)O1)CCCCCC)OC(=O)[C@H](CC(C)C)NC=O,2,2,-1,-1,-1,1,119
9887054,oxaliplatin,4,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,.,C1CC[C@H]([C@@H](C1)N)N.C(=O)(C(=O)[O-])[O-].[Pt+2],2,2,-1,-1,-1,-1,19
4680,papaverine,5,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,.,COC1=C(C=C(C=C1)CC2=NC=CC3=CC(=C(C=C32)OC)OC)OC,2,2,-1,-1,-1,-1,120
1775,phenytoin,8,Most-DILI-Concern,vMost-DILI-Concern,HH,Hepatotoxic,Positive,Postive,C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3,2,2,2,1,1,1,19
11598201,raltegravir,7,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,.,CC1=NN=C(O1)C(=O)NC(C)(C)C2=N/C(=C(/NCC3=CC=C(C=C3)F)\O)/C(=O)C(=O)N2C,2,2,-1,-1,-1,-1,121
5381226,rifampin,8,Most-DILI-Concern,vMost-DILI-Concern,WE,Hepatotoxic,Negative,Postive,C[C@H]1/C=C/C=C(\C(=O)NC\2=C(C3=C(C(=C4C(=C3C(=O)/C2=C/NN5CCN(CC5)C)C(=O)[C@](O4)(O/C=C/[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)/C,2,2,1,1,0,1,122
5070,riluzole,8,Most-DILI-Concern,vMost-DILI-Concern,HH,.,Positive,.,C1=CC2=C(C=C1OC(F)(F)F)SC(=N2)N,2,2,2,-1,1,-1,123
392622,ritonavir,8,Most-DILI-Concern,vMost-DILI-Concern,HH,.,Positive,.,CC(C)C1=NC(=CS1)CN(C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC2=CC=CC=C2)C[C@@H]([C@H](CC3=CC=CC=C3)NC(=O)OCC4=CN=CS4)O,2,2,2,-1,1,-1,124
216239,sorafenib,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,.,CNC(=O)C1=NC=CC(=C1)OC2=CC=C(C=C2)NC(=O)NC3=CC(=C(C=C3)Cl)C(F)(F)F,2,2,-1,-1,-1,-1,125
5353980,sulfasalazine,5,Most-DILI-Concern,vMost-DILI-Concern,HH,Hepatotoxic,Positive,Postive,C1=CC=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N/N=C/3\C=CC(=O)C(=C3)C(=O)O,2,2,2,1,1,1,126
5352,sulindac,8,Most-DILI-Concern,vMost-DILI-Concern,HH,Hepatotoxic,Positive,.,CC1=C(C2=C(C1=CC3=CC=C(C=C3)S(=O)C)C=CC(=C2)F)CC(=O)O,2,2,2,1,1,-1,127
2733526,tamoxifen,8,Most-DILI-Concern,vMost-DILI-Concern,HH,Hepatotoxic,Positive,Postive,CC/C(=C(\C1=CC=CC=C1)/C2=CC=C(C=C2)OCCN(C)C)/C3=CC=CC=C3,2,2,2,1,1,1,128
5462516,telithromycin,8,Most-DILI-Concern,vMost-DILI-Concern,HH,.,Positive,Postive,CC[C@@H]1[C@@]2([C@@H]([C@H](C(=O)[C@@H](C[C@]([C@@H]([C@H](C(=O)[C@H](C(=O)O1)C)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)OC)C)C)N(C(=O)O2)CCCCN4C=C(N=C4)C5=CN=CC=C5)C,2,2,2,-1,1,1,129
5402,terbinafine,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,Postive,CC(C)(C)C#CC=CCN(C)CC1=CC=CC2=CC=CC=C21,2,2,-1,-1,-1,1,130
6013,testosterone,8,Most-DILI-Concern,vMost-DILI-Concern,.,non-hepatotixic,.,Postive,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=O)CC[C@]34C,2,2,-1,0,-1,1,117
5430,thiabendazole,7,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,.,C1=CC=C2C(=C1)NC(=N2)C3=CSC=N3,2,2,-1,-1,-1,-1,131
5472,ticlopidine,4,Most-DILI-Concern,vMost-DILI-Concern,HH,Hepatotoxic,Positive,Postive,C1CN(CC2=C1SC=C2)CC3=CC=CC=C3Cl,2,2,2,1,1,1,132
5487,tizanidine,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,Postive,C1CN=C(N1)NC2=C(C=CC3=NSN=C32)Cl,2,2,-1,-1,-1,1,133
216237,tolvaptan,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,.,CC1=CC=CC=C1C(=O)NC2=CC(=C(C=C2)C(=O)N3CCCC(C4=C3C=CC(=C4)Cl)O)C,2,2,-1,-1,-1,-1,134
71616,voriconazole,8,Most-DILI-Concern,vMost-DILI-Concern,.,.,.,.,C[C@@H](C1=NC=NC=C1F)[C@](CN2C=NC=N2)(C3=C(C=C(C=C3)F)F)O,2,2,-1,-1,-1,-1,102
5717,zafirlukast,8,Most-DILI-Concern,vMost-DILI-Concern,HH,Hepatotoxic,Positive,Postive,CC1=CC=CC=C1S(=O)(=O)NC(=O)C2=CC(=C(C=C2)CC3=CN(C4=C3C=C(C=C4)NC(=O)OC5CCCC5)C)OC,2,2,2,1,1,1,135
60490,zileuton,5,Most-DILI-Concern,vMost-DILI-Concern,HH,Hepatotoxic,Positive,.,CC(C1=CC2=CC=CC=C2S1)N(C(=O)N)O,2,2,2,1,1,-1,136
60871,adefovir,2,Less-DILI-Concern,vLess-DILI-Concern,.,.,.,.,CC(C)(C)C(=O)OCOP(=O)(COCCN1C=NC2=C1N=CN=C2N)OCOC(=O)C(C)(C)C,1,1,-1,-1,-1,-1,137
14956,amphotericin b,3,Less-DILI-Concern,vLess-DILI-Concern,WE,Hepatotoxic,Negative,.,C[C@H]1C=CC=CC=CC=CC=CC=CC=C[C@@H](C[C@H]2[C@@H]([C@H](C[C@](O2)(C[C@H](C[C@H]([C@@H](CC[C@H](C[C@H](CC(=O)O[C@H]([C@@H]([C@@H]1O)C)C)O)O)O)O)O)O)O)C(=O)O)O[C@H]3[C@H]([C@H]([C@@H]([C@H](O3)C)O)N)O,1,1,1,1,0,-1,138
6249,ampicillin,3,Less-DILI-Concern,vLess-DILI-Concern,.,.,Negative,Negative,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)N)C(=O)O)C,1,1,-1,-1,0,0,139
148192,atazanavir,3,Less-DILI-Concern,vLess-DILI-Concern,.,.,.,.,CC(C)(C)[C@@H](C(=O)N[C@@H](CC1=CC=CC=C1)[C@H](CN(CC2=CC=C(C=C2)C3=CC=CC=N3)NC(=O)[C@H](C(C)(C)C)NC(=O)OC)O)NC(=O)OC,1,1,-1,-1,-1,-1,140
6918453,auranofin,3,Less-DILI-Concern,vLess-DILI-Concern,HH,.,Positive,.,CCP(CC)CC.CC(=O)OC[C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)[S-])OC(=O)C)OC(=O)C)OC(=O)C.[Au+],1,1,2,-1,1,-1,141
31101,bromocriptine,3,Less-DILI-Concern,vLess-DILI-Concern,.,.,.,.,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]3(N1C(=O)[C@](O3)(C(C)C)NC(=O)[C@H]4CN([C@@H]5CC6=C(NC7=CC=CC(=C67)C5=C4)Br)C)O,1,1,-1,-1,-1,-1,142
20824,carbenicillin,3,Less-DILI-Concern,vLess-DILI-Concern,.,.,.,.,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)C(C3=CC=CC=C3)C(=O)O)C(=O)O)C,1,1,-1,-1,-1,-1,139
498142,carboplatin,3,Less-DILI-Concern,vLess-DILI-Concern,HH,.,Positive,.,C1CC(C1)(C(=O)O)C(=O)O.[NH2-].[NH2-].[Pt],1,1,2,-1,1,-1,19
2662,celecoxib,3,Less-DILI-Concern,vLess-DILI-Concern,.,.,Positive,Postive,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F,1,1,-1,-1,1,1,143
2708,chlorambucil,3,Less-DILI-Concern,vLess-DILI-Concern,.,.,.,.,C1=CC(=CC=C1CCCC(=O)O)N(CCCl)CCCl,1,1,-1,-1,-1,-1,19
441203,cisplatin,3,Less-DILI-Concern,vLess-DILI-Concern,HH,.,Positive,.,N.N.Cl[Pt+2]Cl,1,1,2,-1,1,-1,19
29029,clindamycin,3,Less-DILI-Concern,vLess-DILI-Concern,HH,.,Positive,Postive,CCC[C@@H]1C[C@H](N(C1)C)C(=O)NC([C@@H]2[C@@H]([C@@H]([C@H]([C@H](O2)SC)O)O)O)C(C)Cl,1,1,2,-1,1,1,144
2796,clofibrate,3,Less-DILI-Concern,vLess-DILI-Concern,HH,non-hepatotixic,Positive,.,CCOC(=O)C(C)(C)OC1=CC=C(C=C1)Cl,1,1,2,0,1,-1,145
1548955,clomiphene,3,Less-DILI-Concern,vLess-DILI-Concern,HH,.,Positive,.,CCN(CC)CCOC1=CC=C(C=C1)/C(=C(/C2=CC=CC=C2)\Cl)/C3=CC=CC=C3,1,1,2,-1,1,-1,128
2812,clotrimazole,3,Less-DILI-Concern,vLess-DILI-Concern,WE,non-hepatotixic,Negative,.,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3Cl)N4C=CN=C4,1,1,1,0,0,-1,146
6098,cloxacillin,3,Less-DILI-Concern,vLess-DILI-Concern,HH,.,Positive,.,CC1=C(C(=NO1)C2=CC=CC=C2Cl)C(=O)N[C@H]3[C@@H]4N(C3=O)[C@H](C(S4)(C)C)C(=O)O,1,1,2,-1,1,-1,147
2955,dapsone,3,Less-DILI-Concern,vLess-DILI-Concern,HH,Hepatotoxic,Positive,Postive,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,1,1,2,1,1,1,19
18381,dicloxacillin,3,Less-DILI-Concern,vLess-DILI-Concern,HH,.,Positive,Postive,CC1=C(C(=NO1)C2=C(C=CC=C2Cl)Cl)C(=O)N[C@H]3[C@@H]4N(C3=O)[C@H](C(S4)(C)C)C(=O)O,1,1,2,-1,1,1,147
148124,docetaxel,3,Less-DILI-Concern,vLess-DILI-Concern,.,.,.,Postive,CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O,1,1,-1,-1,-1,1,148
2761171,ethionamide,3,Less-DILI-Concern,vLess-DILI-Concern,.,.,.,.,CCC1=NC=CC(=C1)C(=S)N,1,1,-1,-1,-1,-1,149
150311,ezetimibe,3,Less-DILI-Concern,vLess-DILI-Concern,.,.,.,Postive,C1=CC(=CC=C1[C@@H]2[C@H](C(=O)N2C3=CC=C(C=C3)F)CC[C@@H](C4=CC=C(C=C4)F)O)O,1,1,-1,-1,-1,1,150
3339,fenofibrate,3,Less-DILI-Concern,vLess-DILI-Concern,HH,Hepatotoxic,Positive,Postive,CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Cl,1,1,2,1,1,1,145
1548972,fluvastatin,3,Less-DILI-Concern,vLess-DILI-Concern,.,.,Negative,Postive,CC(C)N1C2=CC=CC=C2C(=C1/C=C/[C@@H](C[C@@H](CC(=O)O)O)O)C3=CC=C(C=C3)F,1,1,-1,-1,0,1,151
3446,gabapentin,3,Less-DILI-Concern,vLess-DILI-Concern,NE,.,Negative,Postive,C1CCC(CC1)(CC(=O)O)CN,1,1,0,-1,0,1,19
5464436,gemifloxacin,3,Less-DILI-Concern,vLess-DILI-Concern,.,.,.,.,CO/N=C\1/CN(CC1CN)C2=C(C=C3C(=O)C(=CN(C3=N2)C4CC4)C(=O)O)F,1,1,-1,-1,-1,-1,152
3672,ibuprofen,3,Less-DILI-Concern,vLess-DILI-Concern,WE,Hepatotoxic,Negative,Postive,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,1,1,1,1,0,1,19
3825,ketoprofen,3,Less-DILI-Concern,vLess-DILI-Concern,NE,.,Negative,.,CC(C1=CC=CC(=C1)C(=O)C2=CC=CC=C2)C(=O)O,1,1,0,-1,0,-1,19
3826,ketorolac,3,Less-DILI-Concern,vLess-DILI-Concern,HH,.,Positive,.,C1CN2C(=CC=C2C(=O)C3=CC=CC=C3)C1C(=O)O,1,1,2,-1,1,-1,153
60825,lamivudine,3,Less-DILI-Concern,vLess-DILI-Concern,WE,.,Negative,Postive,C1[C@H](O[C@H](S1)CO)N2C=CC(=NC2=O)N,1,1,1,-1,0,1,53
216326,lenalidomide,3,Less-DILI-Concern,vLess-DILI-Concern,.,.,.,.,C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N,1,1,-1,-1,-1,-1,154
3902,letrozole,2,Less-DILI-Concern,vLess-DILI-Concern,.,.,.,.,C1=CC(=CC=C1C#N)C(C2=CC=C(C=C2)C#N)N3C=NC=N3,1,1,-1,-1,-1,-1,155
3950,lomustine,3,Less-DILI-Concern,vLess-DILI-Concern,.,.,.,.,C1CCC(CC1)NC(=O)N(CCCl)N=O,1,1,-1,-1,-1,-1,156
53232,lovastatin,3,Less-DILI-Concern,vLess-DILI-Concern,.,non-hepatotixic,Negative,Postive,CC[C@H](C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C,1,1,-1,0,0,1,157
4030,mebendazole,3,Less-DILI-Concern,vLess-DILI-Concern,HH,.,Positive,.,COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=CC=C3,1,1,2,-1,1,-1,77
54677470,meloxicam,3,Less-DILI-Concern,vLess-DILI-Concern,.,.,Negative,Postive,CC1=CN=C(S1)NC(=O)C2=C(C3=CC=CC=C3S(=O)(=O)N2C)O,1,1,-1,-1,0,1,158
64778,meropenem,3,Less-DILI-Concern,vLess-DILI-Concern,.,Hepatotoxic,.,.,C[C@@H]1[C@@H]2[C@H](C(=O)N2C(=C1S[C@H]3CC[C@H](N3)C(=O)N(C)C)C(=O)O)[C@@H](C)O,1,1,-1,1,-1,-1,159
4114,methoxsalen,3,Less-DILI-Concern,vLess-DILI-Concern,.,.,.,.,COC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2,1,1,-1,-1,-1,-1,160
6010,methyltestosterone,2,Less-DILI-Concern,vLess-DILI-Concern,.,.,.,Postive,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC[C@]4(C)O)C,1,1,-1,-1,-1,1,117
4205,mirtazapine,3,Less-DILI-Concern,vLess-DILI-Concern,.,.,.,.,CN1CCN2C(C1)C3=CC=CC=C3CC4=C2N=CC=C4,1,1,-1,-1,-1,-1,161
4212,mitoxantrone,3,Less-DILI-Concern,vLess-DILI-Concern,HH,.,Positive,.,C1=CC(=C2C(=C1NCCNCCO)C(=O)C3=C(C=CC(=C3C2=O)O)O)NCCNCCO,1,1,2,-1,1,-1,162
4236,modafinil,3,Less-DILI-Concern,vLess-DILI-Concern,.,non-hepatotixic,.,Postive,C1=CC=C(C=C1)C(C2=CC=CC=C2)S(=O)CC(=O)N,1,1,-1,0,-1,1,19
8982,nafcillin,3,Less-DILI-Concern,vLess-DILI-Concern,WE,.,Negative,.,CCOC1=C(C2=CC=CC=C2C=C1)C(=O)N[C@H]3[C@@H]4N(C3=O)[C@H](C(S4)(C)C)C(=O)O,1,1,1,-1,0,-1,163
1302,naproxen,3,Less-DILI-Concern,vLess-DILI-Concern,WE,Hepatotoxic,Negative,Postive,CC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O,1,1,1,1,0,1,19
4485,nifedipine,3,Less-DILI-Concern,vLess-DILI-Concern,HH,Hepatotoxic,Positive,.,CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC,1,1,2,1,1,-1,164
4539,norfloxacin,3,Less-DILI-Concern,vLess-DILI-Concern,.,.,.,Postive,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O,1,1,-1,-1,-1,1,85
383414,octreotide,2,Less-DILI-Concern,vLess-DILI-Concern,.,.,.,Postive,CC(C1C(=O)NC(CSSCC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)CCCCN)CC2=CNC3=CC=CC=C32)CC4=CC=CC=C4)NC(=O)C(CC5=CC=CC=C5)N)C(=O)NC(CO)C(C)O)O,1,1,-1,-1,-1,1,165
4583,ofloxacin,3,Less-DILI-Concern,vLess-DILI-Concern,WE,Hepatotoxic,.,.,CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O,1,1,1,1,-1,-1,113
6196,oxacillin,3,Less-DILI-Concern,vLess-DILI-Concern,.,.,.,Postive,CC1=C(C(=NO1)C2=CC=CC=C2)C(=O)N[C@H]3[C@@H]4N(C3=O)[C@H](C(S4)(C)C)C(=O)O,1,1,-1,-1,-1,1,147
